latitude,longitude,school
35.99981524,-78.93862749,Duke
35.9981882,-78.93515987,Duke
35.99991643,-78.94001025,Duke
36.00002649,-78.93792488,Duke
36.00021249,-78.93833855,Duke
35.99892,-78.93807946,Duke
35.99895984,-78.93728395,Duke
35.99893213,-78.93995417,Duke
36.00539637,-78.9290705,Duke
36.00605346,-78.92909513,Duke
36.00531381,-78.92672126,Duke
36.00486311,-78.92916486,Duke
36.00447897,-78.92711547,Duke
36.00592421,-78.91799158,Duke
36.00684381,-78.91715785,Duke
36.00714695,-78.91427697,Duke
36.00816029,-78.91421588,Duke
36.00797493,-78.91422099,Duke
36.00874962,-78.9150666,Duke
36.00702257,-78.9152004,Duke
36.00816864,-78.91510223,Duke
36.00864642,-78.91419043,Duke
36.01289455,-78.91581572,Duke
36.01109464,-78.90730771,Duke
36.009888,-78.90962693,Duke
36.00668956,-78.91874976,Duke
36.00456916,-78.90965122,Duke
35.99592941,-78.90101113,Duke
35.98469687,-78.92234671,Duke
36.02646195,-78.8929657,Duke
35.99804764,-78.93809601,Duke
35.99751423,-78.9368061,Duke
35.9988679,-78.93661771,Duke
36.00571131,-78.92864383,Duke
36.00559156,-78.92773582,Duke
36.00260018,-78.92085013,Duke
36.00270606,-78.92209479,Duke
36.0049551,-78.92072917,Duke
36.00440931,-78.91989725,Duke
35.96409099,-78.96612612,Duke
35.91179235,-79.05842011,UNC-CH
35.91113715,-79.05678148,UNC-CH
35.91086365,-79.05735945,UNC-CH
35.91177691,-79.05710578,UNC-CH
35.91168566,-79.05659669,UNC-CH
35.91037228,-79.05600881,UNC-CH
35.90890921,-79.05370809,UNC-CH
35.90480235,-79.04633894,UNC-CH
35.90468121,-79.04584987,UNC-CH
35.90431153,-79.046522,UNC-CH
35.90419434,-79.04607746,UNC-CH
35.90450425,-79.0461829,UNC-CH
35.90352657,-79.0435084,UNC-CH
35.90451046,-79.04304178,UNC-CH
35.9041474,-79.04261511,UNC-CH
35.90312924,-79.04364684,UNC-CH
35.90283914,-79.04480153,UNC-CH
35.9023348,-79.04316847,UNC-CH
35.90277992,-79.04512247,UNC-CH
35.90207619,-79.04343648,UNC-CH
35.90177023,-79.04244408,UNC-CH
35.90457663,-79.04494518,UNC-CH
35.90421989,-79.04455804,UNC-CH
35.90377309,-79.04383267,UNC-CH
35.90278133,-79.04369528,UNC-CH
35.91344517,-79.05856919,UNC-CH
35.91614736,-79.06033893,UNC-CH
35.91076694,-79.0654162,UNC-CH
35.91452497,-79.06661028,UNC-CH
35.92996252,-79.01432049,UNC-CH
35.92493618,-78.95529856,UNC-CH
35.96218771,-78.94001097,UNC-CH
35.97349392,-78.90265782,UNC-CH
35.92293122,-79.0102603,Duke
35.918525,-78.91350065,Duke
35.9144706,-78.91681518,UNC-CH
35.94628347,-78.87190666,UNC-CH
35.94017601,-78.85034137,Duke
35.92282496,-79.03635127,UNC-CH
35.94134845,-79.01707223,UNC-CH
35.93320204,-79.0275886,UNC-CH
35.93339951,-79.02661051,Duke
35.95751098,-78.9571179,Duke
35.94664426,-79.02601769,UNC-CH